Gene_Label,Gene_Ensembl_ID,Mean_log2_CPM_plus1,Variance_log2_CPM_plus1
VG1,ENSG00000230937,4.717697935370625,4.303531712487959
VG2,ENSG00000234787,3.787152182913876,3.4788414905350575
VG3,ENSG00000139269,3.6143595440941487,3.1932310640647015
VG4,ENSG00000157103,2.160284496639566,3.0785464031550824
VG5,ENSG00000078401,3.160830750874386,3.042543737925462
VG6,ENSG00000197408,3.0411315430235644,3.0183641368271927
VG7,ENSG00000137872,4.130117097081901,2.993064570556125
VG8,ENSG00000255103,1.7414183666230227,2.7317638691942676
VG9,ENSG00000184779,3.409489867848836,2.672358687521586
VG10,ENSG00000125144,2.0228824574464066,2.553052073927976
VG11,ENSG00000008226,2.3787917322793226,2.3918953825831957
VG12,ENSG00000212664,1.8081225497525184,2.3626567371006173
VG13,ENSG00000145824,2.8245895326818298,2.3599225025186548
VG14,ENSG00000120738,4.598386804436397,2.3177364981854134
VG15,ENSG00000110148,4.7323996739991125,2.3017128194994263
VG16,ENSG00000095596,3.7389948487367612,2.272908156829151
VG17,ENSG00000215866,4.557534076060896,2.2365998474692663
VG18,ENSG00000205358,1.6342543177893192,2.1815890875271022
VG19,ENSG00000174080,5.605598997933332,2.1238839785954133
VG20,ENSG00000106366,3.082908688488849,2.095026833990232
VG21,ENSG00000255666,1.5939738326763142,2.0642234935585786
VG22,ENSG00000257474,2.0118130738163007,2.058758466450739
VG23,ENSG00000179750,4.002606650085983,2.037498997398107
VG24,ENSG00000255964,4.474488317376665,2.034972157586713
VG25,ENSG00000151012,4.681520686230006,1.9914574712868696
VG26,ENSG00000127084,3.017725894959207,1.948143930097648
VG27,ENSG00000048540,2.6658420123825017,1.885842878584847
VG28,ENSG00000238266,2.7850901693275034,1.8471062228873842
VG29,ENSG00000139318,4.973939305824001,1.8458144877172529
VG30,ENSG00000126010,2.967852309447553,1.84437152450513
VG31,ENSG00000253507,5.065134207907092,1.8313844629833236
VG32,ENSG00000102908,3.9724049561859003,1.8153515158163918
VG33,ENSG00000143632,3.4946363747325817,1.7801834422490834
VG34,ENSG00000228278,1.8900749723095978,1.7578482471867047
VG35,ENSG00000184261,3.514380819582368,1.7391301445881127
VG36,ENSG00000228592,3.32726466292421,1.7232996750704501
VG37,ENSG00000109436,2.9249295885738653,1.7167169145554748
VG38,ENSG00000092345,3.139916684260612,1.7075648585544085
VG39,ENSG00000164023,2.037830780869658,1.7026444625470114
VG40,ENSG00000198075,2.573574951318058,1.6783177154290891
VG41,ENSG00000205609,1.956215218940546,1.677051988609848
VG42,ENSG00000187091,5.328713496880039,1.6270537448223787
VG43,ENSG00000148680,4.435975987294118,1.6213379458489916
VG44,ENSG00000114450,3.521513845950369,1.5958110242750803
VG45,ENSG00000130513,2.7247506085385,1.5874250674259607
VG46,ENSG00000271860,1.5171378737674062,1.581093404314305
VG47,ENSG00000159388,4.896994438561242,1.554115766795353
VG48,ENSG00000164300,2.8803971835628275,1.5348250219033577
VG49,ENSG00000165617,2.890501685155985,1.5098046698652408
VG50,ENSG00000157570,5.67095170942388,1.5084206184165094
