Gene_Ensembl_ID,GSM4282198_sh587,GSM4282199_shE,GSM4282200_shE,GSM4282201_sh587,GSM4282202_shE,GSM4282203_sh587,GSM4282204_sh587
ENSG00000000003,6259,7482,8767,10117,7681,6654,6382
ENSG00000000005,120,206,161,120,85,129,139
ENSG00000000419,4615,4337,4971,5021,4552,2922,4106
ENSG00000000457,1183,815,877,1692,1359,967,1076
ENSG00000000460,2271,3102,3491,3891,4212,1872,2146
ENSG00000000938,15,0,33,24,26,7,29
ENSG00000000971,3,0,3,2,0,0,0
ENSG00000001036,6162,4708,5419,7555,4730,5804,7526
ENSG00000001084,2761,2600,3985,4561,5192,2510,2958
ENSG00000001167,2828,2341,3517,4790,5440,2392,2923
ENSG00000001460,609,684,681,1732,1184,744,922
ENSG00000001461,999,852,921,1987,1545,774,1016
ENSG00000001497,6759,6870,8978,8433,9396,6255,8342
ENSG00000001561,766,303,444,1805,1158,474,488
ENSG00000001617,4718,3107,4626,4872,4592,4114,6538
ENSG00000001626,86,49,65,210,119,9,34
ENSG00000001629,3167,1872,2619,8314,6995,2393,3196
ENSG00000001630,67,48,153,263,298,68,85
ENSG00000001631,1523,1065,1630,2986,3331,930,1341
ENSG00000002016,873,533,825,1488,1232,574,859
ENSG00000002079,0,0,0,0,0,0,3
ENSG00000002330,905,675,1053,634,446,880,1166
ENSG00000002549,4099,4268,5575,4873,5534,3354,5370
ENSG00000002586,0,0,0,2,0,0,0
ENSG00000002587,51,19,44,164,77,42,43
ENSG00000002726,34,4,15,7,7,25,17
ENSG00000002745,5,8,20,65,38,12,26
ENSG00000002746,253,117,190,640,454,220,314
ENSG00000002822,2669,1651,2690,2150,1807,2031,2916
ENSG00000002834,15478,16940,23653,21066,24448,14931,20792
ENSG00000002919,1678,1703,2074,1822,2074,1279,1891
ENSG00000002933,5,7,0,1,2,0,0
ENSG00000003056,4806,4288,5929,6643,6932,4265,5593
ENSG00000003096,559,579,588,1614,1397,512,627
ENSG00000003137,9,10,10,32,22,20,35
ENSG00000003147,2880,2087,2505,3729,2851,2249,3459
ENSG00000003249,4683,4495,6667,3843,4066,3706,6688
ENSG00000003393,3570,2729,3476,7706,6973,3071,3920
ENSG00000003400,434,270,254,810,508,331,458
ENSG00000003402,842,501,613,1541,1142,627,828
ENSG00000003436,356,276,317,563,460,276,346
ENSG00000003509,8454,3645,4065,8728,5026,5067,6639
ENSG00000003756,8073,6532,6880,11895,9001,6276,7844
ENSG00000003987,464,304,497,1129,1194,323,370
ENSG00000003989,1019,1374,2041,2007,4325,743,1147
ENSG00000004059,6658,5206,6233,5670,4683,5363,8475
ENSG00000004139,284,392,542,622,619,372,466
ENSG00000004142,5419,5688,6371,6361,6299,4965,7405
ENSG00000004399,3573,1671,2574,5835,4529,3195,4215
ENSG00000004455,6682,6428,7469,8219,8893,4964,6814
ENSG00000004468,12,14,0,54,31,3,18
ENSG00000004478,23834,26562,31620,25194,27744,21621,31504
ENSG00000004487,23347,29575,35563,30112,33789,22435,28399
ENSG00000004534,11005,10465,12668,13656,14267,9699,13014
ENSG00000004660,892,911,1358,1155,965,882,930
ENSG00000004700,3318,3068,3590,5961,5277,2528,3557
ENSG00000004766,786,548,812,1593,1420,649,826
ENSG00000004776,93,85,44,38,49,101,114
ENSG00000004777,2036,1253,2044,1521,1847,1498,2195
ENSG00000004779,3879,5342,5882,4299,3999,3260,4479
ENSG00000004799,8,10,16,35,28,4,6
ENSG00000004809,9,0,0,0,2,0,0
ENSG00000004838,16,12,18,22,25,23,21
ENSG00000004846,0,0,0,0,1,0,0
ENSG00000004848,8,5,16,1,1,1,5
ENSG00000004864,6449,7324,8734,9699,10663,5657,7817
ENSG00000004866,790,1108,1141,1029,1498,579,898
ENSG00000004897,3477,2990,4059,7644,7221,2905,3346
ENSG00000004939,0,7,16,8,11,0,5
ENSG00000004948,74,56,75,137,112,105,101
ENSG00000004961,2317,2189,2492,2204,2161,1935,2468
ENSG00000004975,4359,3245,4360,5078,4455,3825,5141
ENSG00000005001,76,65,85,79,71,77,94
ENSG00000005007,6138,3718,7886,8002,7990,4850,7749
ENSG00000005020,284,166,181,684,510,184,328
ENSG00000005022,19868,25589,27531,28840,27458,18113,24287
ENSG00000005059,649,694,971,595,911,305,554
ENSG00000005073,0,0,0,0,0,0,0
ENSG00000005075,987,1677,1985,1152,1234,1523,2076
ENSG00000005100,6764,5251,7585,10589,11258,5272,7481
ENSG00000005102,17,0,9,5,1,4,5
ENSG00000005108,243,136,187,711,301,310,176
ENSG00000005156,4937,4490,5967,7711,8375,3463,6443
ENSG00000005175,3627,2931,4025,6115,5684,2576,3126
ENSG00000005187,149,355,198,452,386,176,304
ENSG00000005189,513,438,480,884,675,497,559
ENSG00000005194,4492,5975,5682,6399,6801,3785,5716
ENSG00000005206,4518,1724,3658,3662,2889,2927,4082
ENSG00000005238,772,672,831,923,673,759,1025
ENSG00000005243,0,3,8,14,3,11,11
ENSG00000005249,1579,2159,3554,3498,4470,1743,1806
ENSG00000005302,1083,1042,1235,1835,1531,951,1268
ENSG00000005339,3832,2735,4217,8240,7065,3132,4594
ENSG00000005379,1296,513,645,1373,737,929,1253
